StartDateTime	CoolingDegree	Energy	Flow	TemperatureIn	TemperatureOut	Volume
04/01/2019 22.00	41.26.00	04.25	00.08	69.04.00	28.14.00	00.08
04/01/2019 21.00	40.02.00	0,177083333	00.06	70.57.00	30.55.00	00.08
04/01/2019 20.00	39.92	0	00.06	70.73	30.81	0
04/01/2019 19.00	42.62	8	00.09	71.37.00	28.75	00.18
04/01/2019 18.00	42.62	04.07	00.09	71.37.00	28.75	00.08
04/01/2019 17.00	44.29.00	04.06	00.09	72.08.00	27.79	00.08
04/01/2019 16.00	40.87	0,185416667	00.06	71.67	30.08.00	00.08
04/01/2019 15.00	42.42.00	4	00.07	72.95	30.53.00	00.08
04/01/2019 14.00	42.15.00	00.27	00.07	72.89	30.75	00.01
04/01/2019 13.00	45.98	0,353472222	00.09	74.52.00	28.54.00	00.17
04/01/2019 12.00	45.94	0,219444444	00.09	74.52.00	28.58.00	00.01
04/01/2019 11.00	44.64	04.47	00.07	74.37.00	29.73	00.08
04/01/2019 10.00	45.14.00	0,190277778	00.08	74.65	29.05.00	00.08
04/01/2019 09.00	44.96	0,224305556	00.08	74.32.00	29.35.00	00.09
04/01/2019 08.00	44.44.00	04.55	00.08	73.86	29.41.00	00.09
04/01/2019 07.00	44.51.00	0,209722222	00.08	73.77	29.26.00	00.08
04/01/2019 06.00	44.14.00	0,177777778	00.08	73.58.00	29.44.00	00.08
04/01/2019 05.00	44.17.00	04.22	00.08	73.59.00	29.42.00	00.08
04/01/2019 04.00	44.62	04.35	00.08	74.16.00	29.54.00	00.09
04/01/2019 03.00	43.86	0,16875	00.08	73.17.00	29.31.00	00.08
04/01/2019 02.00	44.01.00	0,175694444	00.08	72.95	28.94	00.08
04/01/2019 01.00	43.15.00	0	00.08	72.22.00	29.06.00	0
04/01/2019 00.00	45.81	0,392361111	00.08	75.02.00	29.22.00	00.17
03/01/2019 23.00	45.85	05.15	00.08	75.07.00	29.22.00	00.11
03/01/2019 22.00	45.04.00	05.17	00.09	74.32.00	28.92	00.08
03/01/2019 21.00	45.29.00	0,224305556	00.07	75.03.00	29.74	00.01
03/01/2019 20.00	44.99	0,046527778	00.08	74.05.00	29.05.00	00.01
03/01/2019 19.00	45.09.00	0,418055556	00.08	74.44.00	29.35.00	00.18
03/01/2019 18.00	45.15.00	04.35	00.08	74.46.00	29.31.00	00.09
03/01/2019 17.00	46.09.00	00.36	00.08	74.76	28.67	00.01
03/01/2019 16.00	46.15.00	0,392361111	00.08	75.18.00	29.03.00	00.17
03/01/2019 15.00	46.15.00	04.31	00.08	75.19.00	29.04.00	00.11
03/01/2019 14.00	45.38.00	0,225	00.09	74.67	29.29.00	00.08
03/01/2019 13.00	45.61	0,230555556	00.46	74.95	29.34.00	00.11
03/01/2019 12.00	42.46.00	04.25	00.09	71.32.00	28.86	00.09
03/01/2019 11.00	42.74	05.02	00.08	71.66	28.92	00.01
03/01/2019 10.00	42.82	0,186805556	00.08	71.04.00	28.57.00	00.09
03/01/2019 09.00	42.31.00	05.01	00.09	70.55.00	28.24.00	00.01
03/01/2019 08.00	42.01.00	0,177083333	00.08	70.54.00	28.44.00	00.09
03/01/2019 07.00	41.67	04.04	00.09	70.01.00	28.34.00	00.09
03/01/2019 06.00	41.34.00	0,231944444	00.08	70.49.00	29.15.00	00.01
03/01/2019 05.00	41.02.00	04.13	00.09	69.02.00	28	00.09
03/01/2019 04.00	40.45.00	0,218055556	00.09	68.45.00	28.01.00	00.01
03/01/2019 03.00	38.84	0,184722222	00.08	67.75	28.91	00.01
03/01/2019 02.00	37.63	0	00.08	66.01.00	28.47.00	0
03/01/2019 01.00	40.03.00	8	00.01	67.22.00	27.19.00	00.19
03/01/2019 00.00	40.03.00	04.08	00.01	67.22.00	27.19.00	00.01
02/01/2019 23.00	35.75	0,214583333	00.07	65.05.00	29.03.00	00.01
02/01/2019 22.00	40.25.00	0,304166667	00.37	68.93	28.68	00.15
02/01/2019 21.00	37.47.00	04.46	00.09	67.07.00	29.06.00	00.01
02/01/2019 20.00	41.84	04.26	00.11	69.24.00	27.04.00	00.09
02/01/2019 19.00	39.89	0,191666667	00.08	68.29.00	28.04.00	00.01
02/01/2019 18.00	39.13.00	04.55	00.07	68.74	29.61	00.09
02/01/2019 17.00	38.18.00	04.23	00.07	68.02.00	30.02.00	00.09
02/01/2019 16.00	38.57.00	04.06	00.07	68.07.00	30.13.00	00.09
02/01/2019 15.00	43.86	0,177083333	00.14	70.83	26.97	00.08
02/01/2019 14.00	40.42.00	03.19	00.07	70.01.00	29.67	00.08
02/01/2019 13.00	42.33.00	0	00.07	72.51.00	30.18.00	0
02/01/2019 12.00	41.92	07.15	00.09	70.25.00	28.33.00	00.14
02/01/2019 11.00	41.92	06.29	00.09	70.25.00	28.33.00	00.12
02/01/2019 10.00	41.78	04.41	00.09	70.21.00	28.42.00	00.01
02/01/2019 09.00	40.44.00	00.55	00.07	69.08.00	29.37.00	00.01
02/01/2019 08.00	42.42.00	0,35	00.11	69.85	27.43.00	00.18
02/01/2019 07.00	42.44.00	0,219444444	00.11	69.84	27.04.00	00.01
02/01/2019 06.00	42.81	04.07	00.11	69.64	26.83	00.01
02/01/2019 05.00	39.37.00	04.01	00.08	68.48.00	29.11.00	00.01
02/01/2019 04.00	38.46.00	04.55	00.07	67.87	29.41.00	00.01
02/01/2019 03.00	37.72	04.52	00.08	66.07.00	28.98	00.08
02/01/2019 02.00	40.63	04.01	00.01	67.28.00	26.65	00.01
02/01/2019 01.00	36.64	0,169444444	00.07	65.49.00	28.85	00.09
02/01/2019 00.00	35.54.00	00.35	00.07	64.99	29.45.00	00.01
01/01/2019 23.00	38.69	0,315277778	00.09	65.42.00	26.73	00.18
01/01/2019 22.00	38.67	0,234722222	00.09	65.38.00	26.71	00.01
01/01/2019 21.00	38.27.00	03.01	00.12	64.49.00	26.23.00	00.01
01/01/2019 20.00	39.48.00	0,177083333	00.11	66.54.00	27.06.00	00.08
01/01/2019 19.00	35.86	04.01	00.07	65.21.00	29.35.00	00.09
01/01/2019 18.00	36.22.00	06.03	00.06	66.16.00	29.94	00.13
01/01/2019 17.00	38.22.00	0,18125	00.08	67.37.00	29.15.00	00.09
01/01/2019 16.00	38.27.00	0,150694444	00.09	65.69	27.42.00	00.09
01/01/2019 15.00	36.28.00	03.24	00.07	65.02.00	28.92	00.09
01/01/2019 14.00	36.04.00	0,136805556	00.08	65.15.00	28.75	00.07
01/01/2019 13.00	36.25.00	03.09	00.06	65.91	29.67	00.08
01/01/2019 12.00	36.61	04.47	00.07	66.23.00	29.62	00.12
01/01/2019 11.00	36.23.00	04.27	00.07	65.61	29.38.00	00.09
01/01/2019 10.00	36.07.00	05.45	00.07	65.92	29.22.00	00.13
01/01/2019 09.00	36.86	03.05	00.07	65.09.00	29.04.00	00.08
